Tourist_Type,Interest_Category,Budget,Season,Duration_of_Stay,Accessibility,Recommended_Activity
Group,Culture,High,Fall,Medium,Walking,Kitesurfing
Couple,Culture,Medium,Winter,Long,Walking,Camel Ride on the Beach
Couple,Adventure,Low,Summer,Short,Public Transport,Visit the Djerba Heritage Museum
Group,Adventure,High,Winter,Short,Walking,Visit the Djerba Heritage Museum
Solo,Relaxation,High,Spring,Short,Car Rental,Visit Guellala Museum
Solo,Culture,Medium,Fall,Short,Walking,Houmt Souk Exploration
Solo,Culture,Medium,Spring,Short,Car Rental,Explore Borj El Kebir Fort
Couple,Culture,Medium,Spring,Short,Walking,Excursion to Djerba Explore Park
Couple,Culture,High,Summer,Long,Car Rental,Excursion to Djerba Explore Park
Solo,Relaxation,Low,Winter,Medium,Car Rental,Visit the Djerba Heritage Museum
Solo,Relaxation,Low,Spring,Short,Car Rental,Excursion to Djerba Explore Park
Solo,Adventure,Low,Winter,Long,Public Transport,Luxury Spa Retreat
Solo,Relaxation,Medium,Spring,Short,Car Rental,Houmt Souk Exploration
Solo,Adventure,High,Fall,Medium,Walking,Relax at Sidi Mahres Beach
Couple,Relaxation,Medium,Summer,Medium,Car Rental,Visit Guellala Museum
Couple,Adventure,High,Spring,Short,Public Transport,Artisan Market Shopping
Group,Adventure,High,Summer,Short,Car Rental,Houmt Souk Exploration
Family,Culture,Medium,Summer,Long,Walking,Houmt Souk Exploration
Solo,Adventure,Medium,Spring,Medium,Walking,Kitesurfing
Family,Relaxation,Low,Fall,Medium,Public Transport,Explore Borj El Kebir Fort
Group,Adventure,High,Spring,Short,Walking,Visit Guellala Museum
Couple,Relaxation,Medium,Spring,Long,Walking,Visit the Djerba Heritage Museum
Solo,Culture,Low,Spring,Medium,Walking,Artisan Market Shopping
Solo,Relaxation,Medium,Fall,Medium,Public Transport,Camel Ride on the Beach
Couple,Relaxation,Medium,Spring,Short,Walking,Artisan Market Shopping
Couple,Culture,Low,Fall,Medium,Car Rental,Kitesurfing
Couple,Culture,High,Spring,Short,Walking,Visit the Djerba Heritage Museum
Couple,Adventure,Low,Spring,Long,Car Rental,Camel Ride on the Beach
Group,Relaxation,Medium,Spring,Medium,Public Transport,Luxury Spa Retreat
Solo,Relaxation,Medium,Spring,Medium,Walking,Luxury Spa Retreat
Couple,Relaxation,High,Winter,Medium,Car Rental,Excursion to Djerba Explore Park
Couple,Adventure,High,Winter,Long,Public Transport,Relax at Sidi Mahres Beach
Group,Relaxation,Low,Fall,Long,Car Rental,Artisan Market Shopping
Family,Relaxation,High,Spring,Long,Public Transport,Luxury Spa Retreat
Solo,Culture,High,Fall,Medium,Walking,Relax at Sidi Mahres Beach
Solo,Adventure,Low,Fall,Medium,Walking,Visit the Djerba Heritage Museum
Solo,Relaxation,Medium,Winter,Medium,Walking,Artisan Market Shopping
Family,Relaxation,High,Fall,Medium,Public Transport,Visit the Djerba Heritage Museum
Couple,Relaxation,Low,Fall,Medium,Car Rental,Relax at Sidi Mahres Beach
Family,Relaxation,Low,Summer,Medium,Car Rental,Visit Guellala Museum
Family,Culture,Low,Summer,Long,Car Rental,Camel Ride on the Beach
Group,Relaxation,Medium,Winter,Long,Car Rental,Explore Borj El Kebir Fort
Couple,Relaxation,Medium,Winter,Short,Walking,Kitesurfing
Family,Relaxation,Medium,Fall,Short,Public Transport,Relax at Sidi Mahres Beach
Couple,Relaxation,Low,Fall,Medium,Car Rental,Houmt Souk Exploration
Family,Culture,Low,Fall,Medium,Public Transport,Houmt Souk Exploration
Family,Relaxation,Medium,Winter,Medium,Walking,Visit the Djerba Heritage Museum
Group,Culture,Low,Summer,Short,Public Transport,Excursion to Djerba Explore Park
Family,Relaxation,Low,Spring,Medium,Public Transport,Excursion to Djerba Explore Park
Couple,Relaxation,Medium,Fall,Short,Car Rental,Visit Guellala Museum
Family,Relaxation,Medium,Spring,Medium,Car Rental,Visit Guellala Museum
Couple,Relaxation,Low,Spring,Medium,Car Rental,Camel Ride on the Beach
Solo,Adventure,Medium,Spring,Long,Public Transport,Relax at Sidi Mahres Beach
Solo,Adventure,Low,Winter,Long,Walking,Explore Borj El Kebir Fort
Couple,Culture,High,Spring,Medium,Car Rental,Explore Borj El Kebir Fort
Solo,Adventure,High,Spring,Medium,Car Rental,Excursion to Djerba Explore Park
Couple,Adventure,Medium,Summer,Long,Walking,Relax at Sidi Mahres Beach
Family,Relaxation,Medium,Summer,Long,Car Rental,Camel Ride on the Beach
Solo,Relaxation,Medium,Winter,Long,Public Transport,Houmt Souk Exploration
Group,Culture,High,Summer,Short,Walking,Artisan Market Shopping
Group,Relaxation,High,Summer,Medium,Public Transport,Visit Guellala Museum
Solo,Adventure,Medium,Spring,Long,Public Transport,Relax at Sidi Mahres Beach
Family,Relaxation,High,Spring,Medium,Car Rental,Explore Borj El Kebir Fort
Couple,Relaxation,Low,Winter,Long,Car Rental,Excursion to Djerba Explore Park
Couple,Adventure,Medium,Spring,Long,Public Transport,Relax at Sidi Mahres Beach
Couple,Culture,High,Spring,Long,Public Transport,Kitesurfing
Solo,Relaxation,Low,Spring,Long,Public Transport,Artisan Market Shopping
Group,Relaxation,Medium,Spring,Short,Public Transport,Relax at Sidi Mahres Beach
Group,Culture,High,Spring,Medium,Walking,Visit the Djerba Heritage Museum
Solo,Culture,High,Summer,Short,Public Transport,Visit the Djerba Heritage Museum
Solo,Relaxation,Low,Spring,Short,Car Rental,Explore Borj El Kebir Fort
Couple,Relaxation,Low,Winter,Medium,Public Transport,Artisan Market Shopping
Family,Adventure,High,Fall,Long,Walking,Visit Guellala Museum
Group,Relaxation,Medium,Spring,Short,Car Rental,Camel Ride on the Beach
Couple,Relaxation,Low,Winter,Short,Walking,Kitesurfing
Couple,Adventure,Medium,Spring,Medium,Walking,Camel Ride on the Beach
Group,Adventure,Low,Fall,Long,Walking,Artisan Market Shopping
Solo,Culture,High,Spring,Short,Public Transport,Explore Borj El Kebir Fort
Solo,Relaxation,High,Summer,Short,Public Transport,Visit the Djerba Heritage Museum
Couple,Relaxation,High,Winter,Medium,Car Rental,Explore Borj El Kebir Fort
Couple,Adventure,High,Fall,Medium,Public Transport,Houmt Souk Exploration
Family,Relaxation,Medium,Summer,Short,Walking,Houmt Souk Exploration
Solo,Relaxation,High,Spring,Short,Car Rental,Visit the Djerba Heritage Museum
Group,Culture,High,Summer,Long,Walking,Houmt Souk Exploration
Family,Relaxation,Low,Winter,Long,Walking,Explore Borj El Kebir Fort
Family,Relaxation,Medium,Spring,Long,Walking,Visit Guellala Museum
Family,Culture,Medium,Fall,Medium,Public Transport,Artisan Market Shopping
Couple,Culture,Low,Spring,Long,Walking,Camel Ride on the Beach
Family,Adventure,Low,Fall,Short,Car Rental,Excursion to Djerba Explore Park
Couple,Culture,High,Fall,Short,Walking,Kitesurfing
Group,Adventure,Low,Fall,Medium,Walking,Excursion to Djerba Explore Park
Solo,Culture,Low,Summer,Medium,Car Rental,Camel Ride on the Beach
Group,Culture,Low,Summer,Medium,Walking,Visit the Djerba Heritage Museum
Family,Adventure,Low,Summer,Medium,Public Transport,Explore Borj El Kebir Fort
Group,Adventure,Medium,Fall,Long,Walking,Relax at Sidi Mahres Beach
Couple,Culture,Low,Spring,Long,Walking,Explore Borj El Kebir Fort
Couple,Culture,Low,Summer,Long,Car Rental,Kitesurfing
Couple,Adventure,Medium,Fall,Long,Public Transport,Visit Guellala Museum
Family,Adventure,High,Spring,Long,Car Rental,Camel Ride on the Beach
Group,Culture,Low,Summer,Medium,Car Rental,Explore Borj El Kebir Fort
Group,Relaxation,Medium,Summer,Medium,Walking,Visit Guellala Museum
Group,Relaxation,High,Spring,Long,Public Transport,Luxury Spa Retreat
Group,Culture,High,Fall,Medium,Car Rental,Excursion to Djerba Explore Park
Couple,Relaxation,High,Summer,Short,Public Transport,Relax at Sidi Mahres Beach
Group,Culture,Low,Summer,Long,Public Transport,Artisan Market Shopping
Solo,Adventure,Medium,Winter,Short,Walking,Luxury Spa Retreat
Solo,Relaxation,Low,Winter,Long,Public Transport,Artisan Market Shopping
Couple,Relaxation,Medium,Summer,Medium,Car Rental,Houmt Souk Exploration
Solo,Adventure,Low,Spring,Medium,Car Rental,Artisan Market Shopping
Group,Adventure,Low,Fall,Long,Public Transport,Artisan Market Shopping
Couple,Culture,Medium,Fall,Medium,Walking,Kitesurfing
Family,Adventure,Medium,Fall,Medium,Walking,Visit the Djerba Heritage Museum
Group,Relaxation,Medium,Winter,Long,Public Transport,Artisan Market Shopping
Solo,Relaxation,High,Winter,Long,Car Rental,Houmt Souk Exploration
Family,Adventure,High,Summer,Short,Car Rental,Artisan Market Shopping
Group,Adventure,Low,Summer,Short,Car Rental,Visit Guellala Museum
Solo,Relaxation,Medium,Summer,Short,Walking,Kitesurfing
Couple,Culture,Medium,Fall,Medium,Walking,Excursion to Djerba Explore Park
Family,Culture,Low,Fall,Short,Walking,Houmt Souk Exploration
Couple,Relaxation,High,Spring,Short,Public Transport,Explore Borj El Kebir Fort
Couple,Culture,Low,Fall,Long,Car Rental,Visit the Djerba Heritage Museum
Family,Relaxation,Low,Fall,Long,Walking,Excursion to Djerba Explore Park
Group,Culture,Low,Summer,Short,Public Transport,Relax at Sidi Mahres Beach
Couple,Adventure,Medium,Summer,Medium,Public Transport,Camel Ride on the Beach
Family,Adventure,Low,Fall,Medium,Public Transport,Relax at Sidi Mahres Beach
Family,Adventure,Low,Winter,Long,Public Transport,Excursion to Djerba Explore Park
Solo,Culture,Medium,Spring,Medium,Car Rental,Explore Borj El Kebir Fort
Group,Culture,High,Winter,Short,Public Transport,Luxury Spa Retreat
Group,Culture,High,Summer,Medium,Car Rental,Luxury Spa Retreat
Solo,Adventure,Medium,Fall,Medium,Walking,Luxury Spa Retreat
Group,Relaxation,Medium,Fall,Long,Public Transport,Houmt Souk Exploration
Family,Culture,Medium,Spring,Long,Car Rental,Relax at Sidi Mahres Beach
Family,Adventure,Low,Summer,Short,Public Transport,Excursion to Djerba Explore Park
Group,Relaxation,Medium,Spring,Long,Car Rental,Excursion to Djerba Explore Park
Solo,Adventure,High,Spring,Long,Car Rental,Explore Borj El Kebir Fort
Family,Relaxation,Medium,Fall,Medium,Public Transport,Kitesurfing
Group,Adventure,Low,Fall,Medium,Public Transport,Visit Guellala Museum
Couple,Relaxation,High,Summer,Short,Public Transport,Explore Borj El Kebir Fort
Solo,Relaxation,High,Fall,Long,Walking,Luxury Spa Retreat
Group,Relaxation,High,Summer,Medium,Walking,Artisan Market Shopping
Group,Culture,Low,Spring,Short,Car Rental,Visit the Djerba Heritage Museum
Group,Culture,High,Spring,Long,Walking,Relax at Sidi Mahres Beach
Family,Relaxation,High,Winter,Medium,Walking,Luxury Spa Retreat
Couple,Adventure,Medium,Spring,Medium,Public Transport,Luxury Spa Retreat
Group,Relaxation,Low,Fall,Long,Walking,Visit Guellala Museum
Group,Culture,High,Summer,Short,Public Transport,Artisan Market Shopping
Solo,Adventure,High,Summer,Short,Walking,Relax at Sidi Mahres Beach
Group,Relaxation,Low,Spring,Medium,Car Rental,Artisan Market Shopping
Group,Culture,High,Spring,Medium,Car Rental,Visit Guellala Museum
Couple,Relaxation,Low,Spring,Medium,Public Transport,Kitesurfing
Group,Culture,High,Fall,Medium,Walking,Houmt Souk Exploration
Solo,Adventure,High,Fall,Medium,Public Transport,Houmt Souk Exploration
Group,Culture,Medium,Fall,Long,Walking,Explore Borj El Kebir Fort
Family,Culture,Low,Spring,Long,Walking,Visit the Djerba Heritage Museum
Family,Relaxation,High,Winter,Short,Walking,Visit Guellala Museum
Couple,Adventure,Medium,Spring,Long,Car Rental,Visit the Djerba Heritage Museum
Solo,Adventure,High,Fall,Medium,Car Rental,Excursion to Djerba Explore Park
Couple,Culture,Medium,Winter,Medium,Public Transport,Excursion to Djerba Explore Park
Group,Relaxation,High,Summer,Short,Public Transport,Kitesurfing
Family,Culture,Medium,Spring,Medium,Car Rental,Relax at Sidi Mahres Beach
Group,Culture,Medium,Fall,Long,Walking,Artisan Market Shopping
Solo,Adventure,Low,Summer,Medium,Public Transport,Artisan Market Shopping
Couple,Relaxation,Medium,Winter,Long,Walking,Excursion to Djerba Explore Park
Solo,Adventure,Low,Fall,Medium,Walking,Visit the Djerba Heritage Museum
Couple,Adventure,Medium,Fall,Short,Walking,Artisan Market Shopping
Couple,Adventure,High,Winter,Medium,Walking,Luxury Spa Retreat
Family,Relaxation,High,Winter,Short,Walking,Luxury Spa Retreat
Solo,Adventure,Low,Spring,Medium,Walking,Luxury Spa Retreat
Group,Relaxation,High,Fall,Long,Car Rental,Luxury Spa Retreat
Solo,Culture,Medium,Winter,Medium,Car Rental,Camel Ride on the Beach
Couple,Relaxation,Low,Summer,Short,Public Transport,Relax at Sidi Mahres Beach
Couple,Relaxation,Low,Fall,Medium,Public Transport,Houmt Souk Exploration
Group,Culture,Medium,Spring,Long,Public Transport,Luxury Spa Retreat
Couple,Adventure,Low,Spring,Short,Car Rental,Kitesurfing
Family,Adventure,Medium,Summer,Long,Car Rental,Visit Guellala Museum
Group,Culture,Medium,Summer,Long,Car Rental,Luxury Spa Retreat
Family,Adventure,Medium,Winter,Short,Public Transport,Luxury Spa Retreat
Solo,Relaxation,Low,Winter,Long,Public Transport,Visit the Djerba Heritage Museum
Family,Culture,Low,Fall,Medium,Public Transport,Houmt Souk Exploration
Group,Adventure,High,Spring,Medium,Public Transport,Relax at Sidi Mahres Beach
Family,Culture,Medium,Winter,Short,Public Transport,Visit Guellala Museum
Group,Relaxation,Medium,Spring,Medium,Walking,Visit Guellala Museum
Family,Culture,Medium,Fall,Long,Walking,Artisan Market Shopping
Group,Adventure,Medium,Fall,Medium,Car Rental,Excursion to Djerba Explore Park
Group,Relaxation,Medium,Fall,Medium,Walking,Visit the Djerba Heritage Museum
Solo,Adventure,Medium,Summer,Medium,Car Rental,Camel Ride on the Beach
Solo,Culture,Medium,Fall,Short,Car Rental,Excursion to Djerba Explore Park
Solo,Adventure,High,Fall,Medium,Car Rental,Visit the Djerba Heritage Museum
Family,Relaxation,Medium,Fall,Medium,Walking,Excursion to Djerba Explore Park
Solo,Relaxation,High,Fall,Short,Car Rental,Houmt Souk Exploration
Family,Culture,Medium,Summer,Short,Public Transport,Luxury Spa Retreat
Solo,Relaxation,Medium,Fall,Long,Walking,Relax at Sidi Mahres Beach
Solo,Relaxation,Medium,Winter,Medium,Public Transport,Luxury Spa Retreat
Group,Culture,Low,Spring,Short,Public Transport,Explore Borj El Kebir Fort
Family,Culture,Low,Winter,Medium,Walking,Artisan Market Shopping
Group,Adventure,High,Fall,Short,Walking,Luxury Spa Retreat
Family,Adventure,High,Summer,Long,Walking,Artisan Market Shopping
Group,Culture,Low,Summer,Long,Walking,Artisan Market Shopping
Couple,Adventure,Low,Spring,Long,Public Transport,Visit the Djerba Heritage Museum
Family,Adventure,Low,Spring,Long,Car Rental,Visit the Djerba Heritage Museum
Solo,Adventure,Low,Summer,Medium,Walking,Explore Borj El Kebir Fort
Couple,Culture,Medium,Spring,Long,Car Rental,Visit Guellala Museum
Group,Relaxation,Medium,Spring,Short,Public Transport,Explore Borj El Kebir Fort
Couple,Relaxation,High,Spring,Long,Walking,Excursion to Djerba Explore Park
Group,Adventure,Low,Spring,Long,Car Rental,Houmt Souk Exploration
Couple,Culture,High,Winter,Long,Public Transport,Relax at Sidi Mahres Beach
Group,Adventure,Medium,Fall,Long,Car Rental,Kitesurfing
Group,Culture,Medium,Summer,Short,Car Rental,Relax at Sidi Mahres Beach
Family,Relaxation,Medium,Winter,Short,Public Transport,Artisan Market Shopping
Group,Relaxation,Low,Winter,Medium,Walking,Camel Ride on the Beach
Couple,Adventure,High,Fall,Long,Car Rental,Houmt Souk Exploration
Group,Culture,Low,Winter,Short,Walking,Excursion to Djerba Explore Park
Family,Adventure,Medium,Fall,Short,Walking,Visit the Djerba Heritage Museum
Couple,Adventure,High,Fall,Long,Public Transport,Artisan Market Shopping
Couple,Relaxation,High,Summer,Short,Car Rental,Visit Guellala Museum
Couple,Relaxation,High,Winter,Long,Public Transport,Explore Borj El Kebir Fort
Solo,Relaxation,Medium,Fall,Medium,Walking,Visit the Djerba Heritage Museum
Group,Relaxation,Medium,Winter,Medium,Car Rental,Luxury Spa Retreat
Solo,Adventure,Low,Fall,Short,Walking,Explore Borj El Kebir Fort
Group,Adventure,High,Winter,Medium,Walking,Luxury Spa Retreat
Group,Relaxation,Medium,Summer,Medium,Car Rental,Artisan Market Shopping
Couple,Adventure,Medium,Winter,Medium,Walking,Relax at Sidi Mahres Beach
Group,Relaxation,Medium,Winter,Medium,Walking,Visit Guellala Museum
Family,Adventure,Medium,Spring,Medium,Public Transport,Luxury Spa Retreat
Family,Relaxation,Low,Fall,Short,Car Rental,Kitesurfing
Group,Relaxation,Medium,Winter,Short,Public Transport,Camel Ride on the Beach
Couple,Adventure,High,Fall,Short,Public Transport,Visit the Djerba Heritage Museum
Solo,Adventure,Low,Winter,Long,Car Rental,Excursion to Djerba Explore Park
Family,Adventure,High,Spring,Long,Public Transport,Luxury Spa Retreat
Solo,Adventure,High,Summer,Medium,Public Transport,Houmt Souk Exploration
Family,Relaxation,Low,Winter,Long,Public Transport,Kitesurfing
Family,Culture,Medium,Spring,Short,Walking,Explore Borj El Kebir Fort
Family,Culture,Low,Winter,Medium,Car Rental,Visit Guellala Museum
Family,Adventure,Medium,Winter,Long,Public Transport,Artisan Market Shopping
Couple,Relaxation,Low,Summer,Short,Car Rental,Houmt Souk Exploration
Solo,Relaxation,Low,Fall,Medium,Public Transport,Kitesurfing
Group,Relaxation,Low,Fall,Medium,Public Transport,Relax at Sidi Mahres Beach
Couple,Culture,High,Spring,Medium,Car Rental,Houmt Souk Exploration
Family,Relaxation,High,Winter,Short,Public Transport,Visit Guellala Museum
Group,Relaxation,Medium,Fall,Short,Walking,Relax at Sidi Mahres Beach
Family,Adventure,Medium,Summer,Medium,Public Transport,Camel Ride on the Beach
Family,Adventure,High,Fall,Medium,Walking,Explore Borj El Kebir Fort
Solo,Relaxation,Low,Summer,Short,Car Rental,Camel Ride on the Beach
Solo,Culture,Low,Spring,Long,Public Transport,Kitesurfing
Group,Culture,Low,Fall,Medium,Walking,Luxury Spa Retreat
Group,Relaxation,Medium,Summer,Short,Car Rental,Relax at Sidi Mahres Beach
Couple,Culture,Low,Spring,Long,Car Rental,Explore Borj El Kebir Fort
Solo,Relaxation,High,Summer,Short,Car Rental,Kitesurfing
Couple,Adventure,High,Winter,Long,Car Rental,Artisan Market Shopping
Family,Culture,High,Fall,Short,Walking,Artisan Market Shopping
Couple,Relaxation,Low,Fall,Medium,Car Rental,Luxury Spa Retreat
Solo,Adventure,Medium,Winter,Medium,Car Rental,Excursion to Djerba Explore Park
Couple,Adventure,Low,Spring,Long,Car Rental,Relax at Sidi Mahres Beach
Solo,Adventure,Low,Fall,Short,Public Transport,Luxury Spa Retreat
Family,Relaxation,Low,Summer,Short,Public Transport,Kitesurfing
Family,Culture,High,Fall,Short,Car Rental,Excursion to Djerba Explore Park
Family,Relaxation,High,Fall,Medium,Public Transport,Luxury Spa Retreat
Group,Adventure,High,Summer,Short,Walking,Relax at Sidi Mahres Beach
Solo,Adventure,Medium,Winter,Short,Public Transport,Houmt Souk Exploration
Group,Culture,Medium,Spring,Long,Car Rental,Camel Ride on the Beach
Group,Relaxation,Medium,Winter,Short,Public Transport,Houmt Souk Exploration
Group,Culture,Medium,Winter,Long,Public Transport,Explore Borj El Kebir Fort
Family,Culture,Medium,Winter,Long,Car Rental,Visit the Djerba Heritage Museum
Couple,Relaxation,High,Spring,Medium,Public Transport,Explore Borj El Kebir Fort
Couple,Adventure,Medium,Summer,Short,Car Rental,Explore Borj El Kebir Fort
Couple,Relaxation,High,Spring,Long,Car Rental,Visit Guellala Museum
Group,Adventure,Low,Winter,Short,Car Rental,Camel Ride on the Beach
Family,Relaxation,Low,Winter,Medium,Car Rental,Visit Guellala Museum
Group,Adventure,Low,Winter,Short,Public Transport,Artisan Market Shopping
Family,Culture,Low,Fall,Medium,Car Rental,Visit Guellala Museum
Couple,Culture,Medium,Winter,Medium,Car Rental,Luxury Spa Retreat
Couple,Adventure,High,Fall,Short,Walking,Excursion to Djerba Explore Park
